City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,east end,34.5507,-92.341,291.09,76,0,2.78,US,1706661478
140,hengchun,22.0042,120.7439,297.25,67,8,8.1,TW,1706661478
141,college,64.8569,-147.8028,247.12,64,75,0.0,US,1706661434
142,derhachi,50.1066,36.1211,269.42,91,98,1.52,UA,1706661478
143,puerto baquerizo moreno,-0.9,-89.6,298.7,87,88,4.7,EC,1706661478
144,puerto ayora,-0.7393,-90.3518,298.63,86,90,3.49,EC,1706661479
145,yangshuo,24.7808,110.4897,287.67,97,100,1.01,CN,1706661479
146,alpine,32.835,-116.7664,294.42,34,0,0.0,US,1706661479
147,kuqa,41.7278,82.9364,270.17,55,100,1.25,CN,1706661479
148,ilulissat,69.2167,-51.1,249.16,49,26,3.09,GL,1706661479
149,lerwick,60.1545,-1.1494,281.15,81,100,15.21,GB,1706661479
150,tibanbang,6.6315,126.1055,297.65,94,100,3.2,PH,1706661479
151,merizo village,13.2658,144.6691,301.47,66,16,10.63,GU,1706661479
152,ust-tsilma,65.441,52.1498,264.6,96,100,2.24,RU,1706661480
153,hadibu,12.65,54.0333,296.91,77,74,1.82,YE,1706661480
154,winnemucca,40.973,-117.7357,289.18,44,0,2.06,US,1706661480
155,kone,-21.0595,164.8658,301.62,70,87,1.72,NC,1706661480
156,lospalos,-8.5186,127.0025,300.36,72,100,1.37,TL,1706661480
157,vorgashor,67.5833,63.95,260.01,95,100,4.95,RU,1706661480
158,aleksandrovsk-sakhalinskiy,50.8975,142.1561,254.02,83,95,1.01,RU,1706661480
159,atafu village,-8.5421,-172.5159,301.97,75,12,3.15,TK,1706661481
160,nabire,-3.3667,135.4833,303.24,68,93,0.63,ID,1706661481
161,osorno,-40.5667,-73.15,296.32,53,0,2.06,CL,1706661481
162,keflavik,64.0049,-22.5624,272.1,100,20,16.46,IS,1706661481
163,touros,-5.1989,-35.4608,300.54,74,3,5.5,BR,1706661481
164,severomorsk,69.0689,33.4162,276.37,78,100,11.67,RU,1706661481
165,dudinka,69.4058,86.1778,256.27,84,100,9.39,RU,1706661482
